Smiles,doi,Solvent,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
CCCCCCCCCC=O,https://pubs.acs.org/doi/suppl/10.1021/ol303296a/suppl_file/ol303296a_si_001.pdf,CDCl3,202.883,44.037,31.975,29.493,29.356,29.302,29.126,22.774,22.324,14.18
C/C(C)=C/CCC(C)CCO,https://pubs.acs.org/doi/10.1021/jacs.6b03439,CDCl3,131.19,124.67,61.08,39.85,37.17,29.12,25.65,25.4,19.46,17.57
CCCC(CCCCCC)=O,https://pubs.acs.org/doi/10.1021/jacs.6b03439,CDCl3,211.55,44.78,42.93,31.71,29.03,23.91,22.6,17.39,14.11,13.85
CCCCC(CCCCC)=O,https://pubs.acs.org/doi/10.1021/jacs.6b03439,CDCl3,211.69,44.87,42.61,31.56,26.1,23.68,22.58,22.48,14.03,13.97
CCCCCCCCC(C)=O,https://pubs.acs.org/doi/10.1021/jacs.6b03439,CDCl3,209.46,43.93,31.93,29.95,29.48,29.3,29.25,23.98,22.76,14.2
C=CCCCCCCCCO,https://pubs.acs.org/doi/suppl/10.1021/acs.joc.8b02951/suppl_file/jo8b02951_si_001.pdf,CDCl3,139.3,114.3,63.1,33.9,32.9,29.6,29.5,29.2,29.0,25.8
CCCCC/C=C\CCCO,https://pubs.acs.org/doi/suppl/10.1021/acs.joc.8b02951/suppl_file/jo8b02951_si_001.pdf,CDCl3,131.0,128.9,62.8,32.8,31.6,29.5,27.3,23.7,22.7,14.2
CCCCCCCCC1CO1,https://pubs.acs.org/doi/suppl/10.1021/acs.orglett.9b00517/suppl_file/ol9b00517_si_001.pdf,CDCl3,52.6,47.3,32.7,32.0,29.7,29.6,29.4,26.1,22.8,14.2
O[C@@H]1CC[C@@H](C(C)(C)C)CC1,https://pubs.acs.org/doi/10.1021/acs.joc.5b01232,CDCl3,71.1,47.1,35.9,35.9,32.2,27.6,27.6,27.6,25.5,25.5
O[C@H]1CC[C@@H](C(C)(C)C)CC1,https://pubs.acs.org/doi/10.1021/acs.orglett.9b00579,CDCl3,66.0,48.1,33.5,33.5,32.6,27.6,27.6,27.6,21.0,21.0
CCCCCCC/C=C\CO,,CDCl3,133.2,128.4,58.6,31.9,29.7,29.3,29.2,27.5,22.7,14.1
CCCC[C@@H](O1)[C@H]1CCCC,https://pubs.acs.org/doi/10.1021/ja015884g,CDCl3,59.2,59.2,32.1,32.1,28.4,28.4,22.8,22.8,14.2,14.2
O[C@@]1(C)CC[C@@H](C(C)C)CC1,https://pubs.acs.org/doi/10.1021/np010445g,CDCl3,69.2,43.4,38.9,39.9,32.6,31.3,25.0,25.0,19.9,19.9
O[C@]1(C)CC[C@@H](C(C)C)CC1,https://pubs.acs.org/doi/10.1021/np010445g,CDCl3,70.9,43.5,40.2,40.2,32.1,27.2,27.2,25.6,20.1,20.1
CC(C)CCC/C(C)=C/CO,https://pubs.acs.org/doi/10.1021/acs.joc.6b01759,CDCl3,140.2,123.2,59.5,39.9,38.7,28.0,25.6,22.7,22.7,16.3
CC(O)/C=C/CCCCCC,https://doi.org/10.1021/jo0524021,CDCl3,134.0,131.1,68.9,32.1,31.7,29.1,28.8,23.4,22.6,14.0
CC(C)(C)[C@H]1[C@H](O)CCCC1,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fanie.201703340&file=anie201703340-sup-0001-misc_information.pdf,CDCl3,73.6,53.8,38.0,33.1,29.3,29.3,29.3,26.9,26.3,25.2
CC(C[C@H](C)CCCCC)=O,https://pubs.acs.org/doi/10.1021/ja0122849,CDCl3,209.5,51.6,37.2,32.3,30.7,29.6,26.9,23.0,20.1,14.4
CC(C)C(O)/C=C\CCCC,https://pubs.acs.org/doi/10.1021/jo0524021,CDCl3,133.5,130.9,72.9,34.4,32.1,27.7,22.6,18.5,18.3,14.2
CCCCC/C=C\CCOC,https://scifinder-n.cas.org/searchDetail/reference/661472897280320e5ad6eed2/referenceDetails,CDCl3,132.1,125.3,72.4,58.5,31.5,29.3,27.8,27.3,22.5,14.0
CCCCCC[C@@H]1OCCC1,https://pubs.acs.org/doi/10.1021/jo101330p,CDCl3,79.5,67.7,35.8,31.9,31.4,29.4,26.4,25.7,22.6,14.1
C[C@@H]1OC[C@@H]1CCCCCC,https://doi.org/10.1002/ejoc.201402521,CDCl3,81.3,74.8,37.6,31.7,29.3,28.5,27.2,22.5,17.6,14.0
CC(C)(C)C(CCCCC)=O,https://pubs.acs.org/doi/suppl/10.1021/ja409241h/suppl_file/ja409241h_si_001.pdf,CDCl3,216.0,44.09,36.41,31.53,26.41,26.41,26.41,23.64,22.56,13.96
CCCCOC1CCCCC1,https://pubs.acs.org/doi/suppl/10.1021/acs.orglett.5b00553/suppl_file/ol5b00553_si_001.pdf,CDCl3,77.4,67.5,32.3,32.3,32.3,25.8,25.8,24.2,19.4,13.9
C=CCC(O)(CCC)CCC,https://pubs.acs.org/doi/suppl/10.1021/jo070600h/suppl_file/jo070600hsi20070529_094840.pdf,CDCl3,134.0,118.3,73.9,43.9,41.6,41.6,16.7,16.7,14.6,14.6
CCCCC(CCCC)C=O,https://pubs.acs.org/doi/epdf/10.1021/ja031770o,CDCl3,205.8,51.9,29.4,29.4,28.6,28.6,22.8,22.8,13.9,13.9
CC(C)(C)C(C(C)(C)C)C=O,https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejoc.201000888,CDCl3,206.6,68.8,34.1,34.1,30.6,30.6,30.6,30.6,30.6,30.6
CCCCC1(CCCC)OC1,https://pubs.acs.org/doi/10.1021/ja031770o,CDCl3,59.5,52.5,33.9,33.9,27.0,27.0,22.8,22.8,13.9,13.9
C/C(C)=C/[C@@H](C)C[C@@H](C)CO,https://pubs.acs.org/doi/10.1021/ol2017802,CDCl3,131.0,130.0,68.8,41.3,33.7,29.8,25.7,22.0,17.8,16.4
C[C@H]1C[C@H](C(C)(C)C)OCC1,https://pubs.acs.org/doi/suppl/10.1021/jacs.6b07240/suppl_file/ja6b07240_si_001.pdf,CD2Cl2,79.7,63.7,34.2,32.1,31.8,26.2,25.7,25.7,25.7,17.8
C[C@@H]1C[C@H](C(C)(C)C)OCC1,https://pubs.acs.org/doi/suppl/10.1021/jacs.6b07240/suppl_file/ja6b07240_si_001.pdf,CD2Cl2,85.8,68.7,35.4,35.0,34.2,31.1,26.3,26.3,26.3,22.8
CCCCC(O)CC/C=C/C,https://onlinelibrary.wiley.com/doi/10.1002/anie.201605152,CDCl3,131.1,125.3,71.6,37.2,37.1,28.9,27.8,22.7,17.9,14.1
OCCC1CCCCCCC1,https://pubs.rsc.org/en/content/articlelanding/2019/cc/c9cc01330j,CDCl3,61.4,41.1,33.8,32.4,32.4,27.4,27.4,26.3,26.3,25.5
O[C@@H]1C[C@H](C)CC[C@H]1C(C)C,https://onlinelibrary.wiley.com/doi/epdf/10.1002/mrc.1270070907?saml_referrer,CDCl3,71.6,50.2,45.1,34.6,31.7,25.9,23.2,22.3,21.1,16.2
O[C@H]1C[C@H](C)CC[C@@H]1C(C)C,https://onlinelibrary.wiley.com/doi/epdf/10.1002/mrc.1270070907?saml_referrer,CDCl3,68.0,49.7,40.1,30.5,27.6,26.1,21.0,19.9,19.5,18.1
O[C@H]1C[C@H](C)CC[C@H]1C(C)C,https://onlinelibrary.wiley.com/doi/epdf/10.1002/mrc.1270070907?saml_referrer,CDCl3,67.8,48.0,42.7,35.2,29.3,25.9,24.3,22.4,21.3,20.8
O[C@@H]1C[C@H](C)CC[C@@H]1C(C)C,https://onlinelibrary.wiley.com/doi/epdf/10.1002/mrc.1270070907?saml_referrer,CDCl3,70.8,47.5,39.1,31.1,28.4,27.6,21.9,21.6,21.6,21.6
C=C(C)CC(O)CCCCC,https://pubs.acs.org/doi/10.1021/ol500835f,CDCl3,142.9,113.2,68.7,46.2,37.1,31.7,25.4,22.6,22.4,14.0
CCCCCCO/C=C(C)/C,https://pubs.acs.org/doi/10.1021/ol102029u,CDCl3,140.1,110.1,71.8,31.6,29.7,25.6,25.6,19.5,14.9,14.0
CC1(CCCCCCC)OC1,https://www.sciencedirect.com/science/article/pii/095741669500158L?via%3Dihub,CDCl3,57.1,53.9,36.9,31.9,29.8,29.4,25.4,22.8,21.1,14.3
C=CC[C@@H](OC)CCCCC,https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejoc.201500677,CDCl3,135.0,116.6,80.5,56.5,37.7,33.3,32.0,24.9,22.6,14.0
CC/C=C\CCCCCOC,https://onlinelibrary.wiley.com/doi/10.1002/anie.201802434,CDCl3,131.7,129.0,72.9,58.5,29.6,29.5,27.0,25.7,20.5,14.3
CCCCCC1CCCCO1,https://onlinelibrary.wiley.com/doi/10.1002/anie.201500062,CDCl3,77.9,68.5,36.6,32.0,31.9,26.3,25.2,23.6,22.6,14.1
CCCCCCC(C)CC=O,https://doi.org/10.1021/ol062154a,CDCl3,203.4,51.3,37.1,32.0,29.6,28.4,27.1,22.9,20.2,14.3
CC(CCC(CC)CCC)=O,https://pubs.acs.org/doi/10.1021/jacs.7b02020,CDCl3,209.66,41.42,38.4,35.48,29.96,27.25,25.83,19.92,14.58,10.91
C[C@H](O)[C@H](CC/C=C(C)/C)C,https://pubs.acs.org/doi/suppl/10.1021/jo802503x/suppl_file/jo802503x_si_001.pdf,CDCl3,131.4,124.6,71.3,39.2,32.7,25.7,25.6,20.2,17.6,14.0
C[C@@H](O)[C@H](CC/C=C(C)/C)C,https://pubs.acs.org/doi/suppl/10.1021/jo802503x/suppl_file/jo802503x_si_001.pdf,CDCl3,131.4,124.6,71.6,39.5,32.6,25.7,25.6,19.2,17.6,14.3
CCC[C@H](O)/C=C/CCCC,https://www.nature.com/articles/nature22805,CDCl3,132.9,132.2,73.0,39.5,31.9,31.4,22.2,18.7,14.0,14.0
